source_id,date_raw,date_parsed,time,location,country,description,references
Magonia_537,6/26/1962,1962-06-26,evening,"Verona, Italy",Italy,"For about one hour, 20-year-old Roberto Poregozzo, his mother, Maria, and his 25-year-old sister, Luisa, observed a silvery disk, the apparent diameter of the moon, maneuvering in the sky near Santa Anastasia church. They finally went home. About 0300, one of them was awakened by a feeling of intense cold and perceived a greenish light in the room. In the window a sharply defined human shape, delineating a semi-transparent body, was visible. The apparition had a huge bald head. The witness screamed, awakening the two others, and they saw the apparition shrink and vanish ""like a TV image when one turns off the set.""","FSR 63, 2 (Vallee)"
Magonia_538,7/30/1962,1962-07-30,,"Pasnembi, Brazil",Brazil,"A man driving near Pasnembi stopped when his engine failed and observed a cylindrial object, described as ""a bottle with two necks,"" about 40 m long, 15 m high, which had landed on the road. Two men (one at either end of the craft), appeared to be changing some luminous signals. This lasted 10 min and the craft took off at high speed. In Alta, a number of people reported a bright object moving at high altitude.","136; FSR 62, 6 (Vallee)"
Magonia_539,7/30/1962,1962-07-30,,"Bajeola Grande, Argentina",Argentina,"Roberto Mievres, 17, was riding his motorcycle when a tall being, with a head like a watermelon and three eyes, appeared as the engine stalled. The apparition snatched the boy's scarf, but he ran away and came back with a group of people, who found the scarf on the ground, discovered some traces and observed an unknown craft flying away.",CODOVNI 1962 (Vallee)
Magonia_540,8/2/1962,1962-08-02,,"Camba Punat Airport, Argentina",Argentina,"Luis Harvey, airport manager, and his staff thought that an unannounced aircraft was about to land, as they saw a luminous object circling at high speed. It came down to hover about 1 m above the runway for some four min. It was spherical, spinning, and emitted flashes of blue, green and orange. When approached, it took off at very high speed.","FSR 64, 4 (Vallee)"
Magonia_541,8/17/1962,1962-08-17,evening,"Duas Pontes, Brazil",Brazil,"Rivalino da Silva, a diamond prospector, told his associates that he had seen two strange dwarfs digging a hole near his house. They ran away as he came near them, and moments later an object took off from behind the bushes. It was shaped like a hat and surrounded with a red glow.","APRO Sep.,62 (Vallee)"
Magonia_542,8/19/1962,1962-08-19,night,"Duas Pontes, Brazil",Brazil,"Raimundo, the son of Rivalino da Silva (see previous case), was awakened by the sound of steps and saw ""a weird shadow"" in the room. It was small and not human in shape. Voices were heard saying, ""This one looks like Rivalino,"" and later that they would kill him. The family stayed on the alert all night.","APRO Sep., 62 (Vallee)"
Magonia_543,8/20/1962,1962-08-20,,"Duas Pontes, Brazil",Brazil,"Raimundo da Silva (see previous cases) testified before the police that while working in a field, he saw two spherical objects hovering 2 m above ground, a few meters from the house. One was black with an antenna-like protrusion and a small tail; the other was black and white. Both emitted a humming sound and a flickering fire through an opening. The boy's father warned him to stay away as Rivalino walked toward the objects, praying. When he was 2 m away, the two spheres merged into one, raising dust from the ground and spreading a yellow mist that enveloped the man. The boy ran after his father, noting that the cloud had ""an acrid smell."" As it dissolved, everything had vanished. Police investigation, headed by Lieutenant Lisboa, failed to reveal any clue. Many terrified people left the area.","APRO Sep., 62 (Vallee)"
Magonia_544,9/1962,1962-09,2145,"Orland, California",United States,"A. T. Gray, a dairy rancher, thought some lights in a field were those of a car. When coming nearer, he realized the object was oblong with blunt edges and hovered about 7 m above the ground, making no noise. When Gray was 50 m away, the object came toward him, rose, and took off toward the southwest.","APRO Jul., 63 (Vallee)"
Magonia_545,9/5/1962,1962-09-05,night,"Mount Manfre, Italy",Italy,"Second observation by Mr. Siragusa (Case 531), who saw two figures over 2.10 m tall. The light from their belts prevented him from seeing them in detail. A large, spinning object, 25 m wide, top-shaped, hovered nearby. ""From the under part, a metallic cylinder over 3 m long reached down almost to touch the road, with a small door, a sort of lift.""","FSR 62, 6 (Vallee)"
Magonia_546,9/13/1962,1962-09-13,2320,"Overfield, Great Britain",United Kingdom,"Myra Jones was driving between Overfield and Norris Hill when she saw a luminous, gray object, larger than a car with a dome on top. It was flying at the altitude of the Phone poles, slowly spinning. Dark spots were visible on the underside. It nearly touched the car, then gave a whistling sound and flew away.","137; FSR 62, 6 (Vallee)"
